Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Rain School,,,,written and illustrated by James Rumford,"Rumford, written and illustrated by James",,,,Houghton Mifflin Books for Children,,2010,Juvenile Fiction,,,"It is the first day of school in Chad, Africa. Children are filling the road. ""Will they give us a notebook?"" Thomas asks. ""Will they give us a pencil?” ""Will I learn to read?"" But when he and the other children arrive at the schoolyard, they find no classroom, no desks. Just a teacher. ""We will build our school,"" she says. ""This is our first lesson."" James Rumford, who lived in Chad as a Peace Corps volunteer, fills these pages with the vibrant colors of Africa and the spare words of a poet to show how important learning is in a country where only a few children are able to go to school.",,,,,,,,32,,,,,English,,,,9780547243078,0,0,,Unread,,,,,,,0,,,,2018/04/19 14:11:47.433779954,,,,,,3C9JmQEACAAJ,,0,,
Stick Man,,,,Julia Donaldson,"Donaldson, Julia",,,,Arthur A. Levine Books/Scholastic,,2009,Juvenile Fiction,,,"From the creators of The Gruffalo, a new hero for the holidays! Stick Man lives in the family tree, with his Stick Lady Love and his stick children three. But one day Stick Man is separated from his family, and all he wants is to get back to them in time for Christmas. He dodges dogs, navigates rushing rivers, escapes dangerous fireplaces... but he's farther away from home than ever. When Santa arrives with his sleigh and in need of help, is it Stick Man's opportunity to save Christmas and find his way home?",,,,,,,,32,,,,,English,,,,9780545157612,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.944370985,,,,,,btpaPwAACAAJ,,0,,
Superworm,,,,Julia Donaldson,"Donaldson, Julia",,,,Scholastic Incorporated,2013/10/01,2013,Fiction,,,"A wacky and fun new adventure from Julia Donaldson and Axel Scheffler, starring a truly unforgettable hero! Toad in trouble? Beetle in a jam? Never fear - Superworm is here! And he's wiggling to the rescue! But when Superworm is captured by a wicked Wizard Lizard, will his friends find a way to help their favorite superhero escape? From the creators of The Gruffalo and Room on the Broom, a super new adventure with a wriggly, squiggly hero you'll never forget.",,,,,,,,32,,,,,English,,,,9780545591768,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:25:38.975878000,,,,,,DXFKmAEACAAJ,,0,,
The Giant Jumperee,,,,Julia Donaldson,"Donaldson, Julia",,,,Penguin Young Readers Group,,2017,Juvenile Fiction,,,"Two of the world's most celebrated picture book creators, Julia Donaldson and Helen Oxenbury, team up for the first time in this jaunty animal fable for fans of Room on the Broom and We're Going on a Bear Hunt Rabbit arrives home one day to hear a loud voice coming from inside his burrow:  ""I'm the Giant Jumperee and I'm scary as can be!"" shouts the stranger.   Rabbit's friends Cat, Bear, and Elephant come to help, but they're no match for the mysterious, booming voice. But who is the Giant Jumperee? Find out in this new read-aloud classic from internationally bestselling author Julia Donaldson, beautifully brought to life by award-winning illustrator Helen Oxenbury.",,,,,,,,32,,,,,English,,,,9780735227972,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.952646017,,,,,,EycBvgAACAAJ,,0,,
The Jewel Box Ballerinas,,,,Monique De Varennes,"Varennes, Monique De",,,,Schwartz & Wade,2007/09/11,2007,Internet Archive Wishlist,,,"""I'LL TAKE TWO!"" That's what Bibi Branchflower says about everything. She has two  houses, two hats (exactly alike), and two silly dogs. But she doesn't have a single  friend. When she comes across a beautiful jewel box, of course she wants two of them.  Though there's only one like it in all the world, inside two dancers spin. Perfect!  The shopkeeper explains that the box is enchanted--all who look on the ballerinas  will see sorrow in their faces. Soon Bibi becomes more concerned with her sad ballerinas  than with worldly riches. What will make them happy? It is her love that finally  transforms them into living, breathing, happy children--and gives Bibi two real  friends.",,,,,,,,40,,,,,English,,,,9780375836053,0,0,,Unread,,,,,,,0,,,,2018/04/10 14:26:41.496338009,,,,,,,,0,https://covers.openlibrary.org/b/id/4609372-L.jpg,
The Lion King,,,,Walt Disney,"Disney, Walt",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/04/10 14:27:06.624941945,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/7A3330E9-F4EF-4A54-A4A1-6E2A68E7159F,
The Little Band,,,,James Sage,"Sage, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/04/08 11:32:35.286244034,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/2E451920-3B74-409C-84B0-D1E6594331B9,
The Lorax,,,,Dr. Seuss,"Seuss, Dr.",,,,Random House,,1971,Juvenile Fiction,,,"Long before “going green” was mainstream, Dr. Seuss's Lorax spoke for the trees and warned of the dangers of disrespecting the environment. In this cautionary rhyming tale (printed on recycled paper) we learn of the Once-ler, who came across a valley of Truffula Trees and Brown Bar-ba-loots, and how his harvesting of the tufted trees changed the landscape forever. With the release of the blockbuster film version, the Lorax and his classic tale have educated a new generation of young readers not only about the importance of seeing the beauty in the world around us, but also about our responsibility to protect it.",,,,,,,,70,,,,,English,,,,9780394823379,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:25:38.962659955,,,,,,cJnXmrk7BxAC,,0,,
The Shy Little Kitten,,,,Cathleen Schurr,"Schurr, Cathleen",,,,Random House Children's Books,1997/08/01,1997,Juvenile Fiction,,,"One beautiful day a shy little kitten strays from its mother and embarks on a journey filled with adventure! In the course of her wanderings, she meets an interesting and often amusing collection of fellow creatures. ""The Shy Little Kitten, "" with illustrations by the renowned Gustaf Tenggren, is one of the enduring Golden Books classics.",,,,,,,,24,,,,,English,,,,9780307160393,0,0,,Unread,,,,,,,0,,,,2018/04/06 20:18:14.736590981,,,,,,CfoDIpLcoF0C,,0,,
The vegetable book,,,,Gail Gibbons,"Gibbons, Gail",,,,Holiday House,,2006,Vegetables,,,,,,,,,,,32,,,,,,,,,9780823420018,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:25:38.959609031,,,,,,,,0,https://covers.openlibrary.org/b/id/1561835-L.jpg,
